,T,S3/T
459,95864.86486486487,8038994.180646914
460,96057.70770770771,8088229.592131576
461,96250.55055055056,8137672.590049839
462,96443.3933933934,8197698.351362018
463,96636.23623623625,8248086.164149397
464,96829.07907907909,8298324.527682158
465,97021.92192192192,8348775.854117483
466,97214.76476476477,8399549.767712517
467,97407.60760760761,8450310.414199281
468,97600.45045045046,8501466.114791363
469,97793.2932932933,8552757.06150172
470,97986.13613613615,8604387.45986864
471,98178.97897897898,8656182.153649949
472,98371.82182182182,8706376.01695625
473,98564.66466466467,8759669.436338661
474,98757.50750750751,8813239.546550535
475,98950.35035035036,8867185.089448374
476,99143.1931931932,8920897.612774828
477,99336.03603603604,8975034.896444898
478,99528.87887887888,9029775.74997962
479,99721.72172172173,9084655.633297166
480,99914.56456456457,9140719.603056902
481,100107.40740740742,9215581.461935105
482,100300.25025025026,9273874.006366586
483,100493.0930930931,9325718.459123844
484,100685.93593593594,9379719.384213144
485,100878.77877877878,9439632.668433566
486,101071.62162162163,9503014.781613935
487,101264.46446446447,9541932.867448313
488,101457.30730730732,9591556.760547707
489,101650.15015015016,9645991.858558457
490,101842.992992993,9702626.437031113
491,102035.83583583584,9759900.94721232
492,102228.67867867868,9817414.064583855
493,102421.52152152153,9875135.542584704
494,102614.36436436437,9939768.508398961
495,102807.20720720722,9986870.276725821
496,103000.05005005005,10076909.135325078
497,103192.8928928929,10104178.096051017
498,103385.73573573574,10164606.62777927
499,103578.57857857858,10241098.068391196
500,103771.42142142143,10301888.461846178
501,103964.26426426427,10345515.088185463
502,104157.10710710712,10402588.995118063
503,104349.94994994995,10462357.07940364
504,104542.7927927928,10522482.04596274
505,104735.63563563564,10583224.434725368
506,104928.47847847849,10643567.280513017
507,105121.32132132133,10704704.263305916
508,105314.16416416418,10767289.504729718
509,105507.007007007,10829758.760135127
510,105699.84984984985,10889529.847915718
511,105892.6926926927,10949803.342570707
512,106085.53553553554,11011489.900953814
513,106278.37837837839,11073150.449392112
514,106471.22122122123,11136001.062338555
515,106664.06406406408,11200286.25809698
516,106856.90690690691,11262428.94682109
517,107049.74974974975,11345216.719270425
518,107242.5925925926,11397346.503377784
519,107435.43543543544,11452978.942967655
520,107628.27827827829,11515560.957122087
521,107821.12112112113,11588033.104766391
522,108013.96396396396,11645164.296273503
523,108206.80680680681,11710721.03611414
524,108399.64964964965,11773032.1662431
525,108592.4924924925,11837887.010480832
526,108785.33533533535,11903063.017327644
527,108978.17817817819,11992457.243085068
528,109171.02102102104,12050985.179205908
529,109363.86386386387,12111065.777820248
530,109556.70670670671,12162396.688357208
531,109749.54954954956,12228076.713492526
532,109942.3923923924,12293186.931895865
533,110135.23523523525,12359462.771169707
534,110328.07807807809,12426553.79920004
535,110520.92092092092,12494562.167176966
536,110713.76376376377,12562016.629303753
537,110906.60660660661,12629278.379867759
538,111099.44944944946,12696845.992104247
539,111292.2922922923,12765138.249883179
540,111485.13513513515,12833063.838944357
541,111677.97797797798,12901533.958903475
542,111870.82082082082,12975479.206390506
543,112063.66366366367,13046221.148035647
544,112256.50650650651,13117307.728163501
545,112449.34934934936,13188843.054497473
546,112642.1921921922,13260488.67636844
547,112835.03503503505,13332707.962011531
548,113027.87787787788,13405527.407685447
549,113220.72072072072,13478749.41705835
550,113413.56356356357,13551036.871554835
551,113606.40640640642,13607244.167067181
552,113799.24924924926,13680682.099271595
553,113992.0920920921,13754191.335903132
554,114184.93493493494,13827487.273087248
555,114377.77777777778,13899215.480021687
556,114570.62062062063,13969038.416481119
557,114763.46346346347,14056708.452003062
558,114956.30630630632,14117847.290480172
559,115149.14914914916,14202986.673170846
560,115341.99199199199,14258840.689666903
561,115534.83483483484,14340932.647438023
562,115727.67767767768,14422234.571486237
563,115920.52052052053,14504064.911793973
564,116113.36336336337,14575264.30227618
565,116306.20620620622,14668766.730089352
566,116499.04904904906,14736956.996838968
567,116691.8918918919,14805716.821196469
568,116884.73473473474,14865234.000955656
569,117077.57757757758,14937280.980376732
570,117270.42042042043,15023679.995466031
571,117463.26326326327,15091763.301214527
572,117656.10610610612,15183477.952118922
573,117848.94894894895,15247624.183505055
574,118041.7917917918,15323918.006484106
575,118234.63463463464,15400801.24456014
576,118427.47747747749,15478264.472337143
577,118620.32032032033,15556914.099693436
578,118813.16316316318,15634810.488911053
579,119006.00600600602,15713278.362433422
580,119198.84884884885,15791935.857110957
581,119391.6916916917,15870944.165994681
582,119584.53453453454,15950197.510591565
583,119777.37737737739,16029500.769236349
584,119970.22022022023,16109306.992097866
585,120163.06306306308,16189467.59311239
586,120355.9059059059,16269894.575604226
587,120548.74874874875,16350536.083511403
588,120741.5915915916,16431399.158014875
589,120934.43443443444,16512548.42426505
590,121127.27727727729,16593960.863036215
591,121320.12012012013,16675819.366905317
592,121512.96296296298,16757990.987134652
593,121705.80580580581,16840603.55616444
594,121898.64864864865,16922928.452756118
595,122091.4914914915,17005648.95482306
596,122284.33433433434,17088841.500710703
597,122477.17717717719,17172257.603153408
598,122670.02002002003,17255883.3339763
599,122862.86286286286,17339731.100210853
600,123055.70570570571,17424047.16733287
601,123248.54854854856,17508414.198941603
602,123441.3913913914,17593144.173915233
603,123634.23423423425,17718547.774885792
604,123827.07707707709,17777048.664181054
605,124019.91991991992,17851130.3063593
606,124212.76276276277,17960843.92904466
607,124405.60560560561,18041043.314986635
608,124598.44844844846,18121375.64506511
609,124791.2912912913,18205549.008346662
610,124984.13413413415,18275434.792525895
611,125176.97697697699,18362492.1401923
612,125369.81981981982,18449218.807493106
613,125562.66266266267,18534996.951052234
614,125755.50550550551,18622484.626619067
615,125948.34834834836,18710047.248966638
616,126141.1911911912,18798218.91386292
617,126334.03403403405,18886832.950316302
618,126526.87687687688,18975877.197910313
619,126719.71971971972,19065072.386333607
620,126912.56256256257,19153719.932028294
621,127105.40540540541,19243383.629693072
622,127298.24824824826,19333489.67398233
623,127491.0910910911,19428573.68279239
624,127683.93393393393,19520473.16493905
625,127876.77677677678,19612709.40355482
626,128069.61961961963,19705022.407791704
627,128262.46246246247,19797854.3257415
628,128455.30530530532,19891064.96571407
629,128648.14814814816,19984172.002338424
630,128840.990990991,20077971.188233826
631,129033.83383383384,20172202.83477259
632,129226.67667667668,20266070.98414124
633,129419.51951951953,20361027.314805962
634,129612.36236236237,20455876.14988911
635,129805.20520520522,20550965.10782539
636,129998.04804804806,20646426.012766186
637,130190.89089089089,20742042.81668797
638,130383.73373373374,20837941.729271777
639,130576.57657657658,20934441.083825227
640,130769.41941941943,21031473.390524287
641,130962.26226226227,21129002.92042187
642,131155.10510510512,21226823.803702913
643,131347.94794794795,21324045.212883014
644,131540.7907907908,21419901.393225335
645,131733.63363363364,21513961.740012236
646,131926.47647647647,21606024.859249245
647,132119.31931931933,21700928.077456728
648,132312.1621621622,21802104.511126727
649,132505.00500500502,21898771.994066507
650,132697.84784784785,22003727.37076877
651,132890.6906906907,22087933.296923716
652,133083.53353353354,22172637.946551565
653,133276.37637637637,22273110.136152502
654,133469.21921921923,22372329.536202397
655,133662.0620620621,22473432.760348454
656,133854.90490490492,22596651.89633524
657,134047.74774774775,22684108.6423795
658,134240.5905905906,22806418.7210174
659,134433.43343343344,22887123.53418229
660,134626.27627627627,22986591.793323748
661,134819.11911911913,23093359.661866467
662,135011.961961962,23207481.159668654
663,135204.8048048048,23284871.99863431
664,135397.64764764765,23400844.618448656
665,135590.4904904905,23496267.963900246
666,135783.33333333334,23600827.603838935
667,135976.17617617617,23701838.656371452
668,136169.01901901903,23805125.52040541
669,136361.86186186186,23908996.247968238
670,136554.7047047047,24013591.735740326
671,136747.54754754755,24118143.948500607
672,136940.3903903904,24222791.537849743
673,137133.23323323324,24368370.80065643
674,137326.07607607607,24484072.129096866
675,137518.91891891893,24550400.8948674
676,137711.76176176177,24645203.66057363
677,137904.6046046046,24751417.738076083
678,138097.44744744746,24858040.389969584
679,138290.29029029032,24964910.932916112
680,138483.13313313315,25072121.991281338
681,138675.97597597598,25179789.33543563
682,138868.81881881884,25287663.614165194
683,139061.66166166167,25398245.93459958
684,139254.50450450453,25504983.504778657
685,139447.34734734736,25614233.961689364
686,139640.1901901902,25723444.945013713
687,139833.03303303305,25831674.718538094
688,140025.87587587588,25951564.148131106
689,140218.71871871874,26069315.875032444
690,140411.56156156157,26162115.17579781
691,140604.40440440443,26273099.104627796
692,140797.24724724726,26436937.129785724
693,140990.0900900901,26494617.99024365
694,141182.93293293295,26607199.251045115
695,141375.77577577578,26718933.063269034
696,141568.61861861864,26831052.617921926
697,141761.46146146147,26943753.924983148
698,141954.3043043043,27064949.51893355
699,142147.14714714716,27183207.698686372
700,142339.98998999,27285474.429934517
701,142532.83283283285,27414132.98775755
702,142725.67567567568,27513114.60796965
703,142918.51851851854,27626343.16882572
704,143111.36136136137,27741031.89903254
705,143304.2042042042,27856061.04081189
706,143497.04704704706,27968815.897465453
707,143689.8898898899,28090964.625543408
708,143882.73273273275,28202133.11229376
709,144075.57557557558,28330007.367950317
710,144268.41841841844,28436483.860062703
711,144461.26126126127,28570144.399919096
712,144654.1041041041,28662025.41980768
713,144846.94694694696,28791831.80647441
714,145039.7897897898,28942281.38058958
715,145232.63263263265,29013530.31479204
716,145425.47547547548,29137292.349128526
717,145618.3183183183,29265086.23738275
718,145811.16116116117,29379992.981995635
719,146004.004004004,29510698.954842307
720,146196.84684684686,29611390.249940522
721,146389.6896896897,29727033.690037336
722,146582.53253253255,29855113.771824826
723,146775.37537537538,29989451.610317267
724,146968.21821821822,30111950.92873881
725,147161.06106106107,30232782.286030613
726,147353.9039039039,30336069.18347039
727,147546.74674674676,30458818.1654105
728,147739.5895895896,30579768.08960844
729,147932.43243243246,30723065.163330097
730,148125.2752752753,30845456.661644727
731,148318.11811811812,30968904.05810767
732,148510.96096096098,31092221.851932846
733,148703.8038038038,31208317.476643562
734,148896.64664664667,31344241.971889496
735,149089.4894894895,31457335.370483603
736,149282.33233233233,31583105.217553042
737,149475.1751751752,31705655.437322874
738,149668.01801801802,31848846.492419254
739,149860.86086086088,31968118.409832507
740,150053.7037037037,32080290.682884492
741,150246.54654654657,32210739.941534895
742,150439.3893893894,32342681.070529614
743,150632.23223223223,32477583.480321974
744,150825.0750750751,32615780.59720229
745,151017.91791791792,32729008.37547892
746,151210.76076076078,32854057.566879302
747,151403.6036036036,32980845.12720206
748,151596.44644644647,33109553.32593693
749,151789.2892892893,33238317.23233722
750,151982.13213213213,33371449.91755606
751,152174.974974975,33499105.70824053
752,152367.81781781782,33629624.027111866
753,152560.66066066068,33759643.690259136
754,152753.5035035035,33890416.65736423
755,152946.34634634637,34021794.592387974
756,153139.1891891892,34153609.9104518
757,153332.03203203203,34285786.940542795
758,153524.8748748749,34418300.5864714
759,153717.71771771772,34551145.20850025
