coupling,T,S3/T,r_c,phi_esc
1.05,7500.0,363.3852954503814,0.0025975475149170573,22647.88825860928
1.05,7520.0,376.5607517142298,0.002574432041036262,23161.882298264667
1.05,7540.0,389.83442764629916,0.0025523289572458537,23671.007509598625
1.05,7560.0,403.2138695939214,0.002531012813528612,24176.056635081317
1.05,7580.0,416.69901524851554,0.002510896359481649,24676.93974293732
1.05,7600.0,430.2899144553456,0.0024919751589237283,25173.981609490278
1.05,7620.0,443.99067094047825,0.002473946713877693,25667.46420879611
1.05,7640.0,457.79983169778376,0.0024566745519475452,26157.63688924616
1.05,7660.0,471.7398621124473,0.002440734257445246,26645.70213357004
1.05,7680.0,485.7771990076469,0.0024250889536426654,27129.98721181939
1.05,7700.0,499.9355591761019,0.00240983406230638,27611.650435527437
1.05,7720.0,514.2268929433142,0.002396360787825919,28091.864055745507
1.05,7740.0,528.6242639444085,0.0023826514776331196,28568.847097256614
1.05,7760.0,543.1542243439811,0.002370026841182766,29044.24591062656
1.05,7780.0,557.808293061547,0.0023578092987781574,29517.72587145811
1.05,7800.0,572.578551901315,0.0023458263332203377,29988.89754568886
1.05,7820.0,587.4802481554495,0.0023346725651907487,30458.427470847324
1.05,7840.0,602.5068428227756,0.002323671981117299,30926.440013023966
1.05,7860.0,617.5798500417487,0.002313176094405325,31394.141243112055
1.05,7880.0,632.8388382377894,0.0023023712749980665,31858.380086476624
1.05,7900.0,648.2480624063675,0.002292993534814235,32322.530037326607
1.05,7920.0,663.7934341399371,0.002283980715257963,32785.59949553096
1.05,7940.0,679.4512733916309,0.002274899633089882,33246.554739440704
1.05,7960.0,695.246139480809,0.0022660941581711612,33706.593341794694
1.05,7980.0,711.1755754318015,0.0022575749201235143,34165.79884578365
1.05,8000.0,727.2435698383641,0.002249820273211591,34624.25222764664
1.05,8020.0,743.4496545079452,0.002241908743364988,35082.02477507921
1.05,8040.0,759.773403382182,0.0022336826557610738,35538.00920333326
1.05,8060.0,776.2590066193712,0.0022269159237664226,35994.62009166546
1.05,8080.0,792.8650293971643,0.00221990168605181,36449.55058670133
1.05,8100.0,809.6135933777085,0.0022131272068679547,36904.040604170055
1.05,8120.0,826.5018879878664,0.002206241045325933,37358.14312457659
1.05,8140.0,843.5369961847932,0.0021998181488482715,37811.90970131669
1.05,8160.0,860.6925652466925,0.002193138142365676,38264.16031115481
1.05,8180.0,878.010931312616,0.0021874171643455403,38717.08685953859
1.05,8200.0,895.4563056930191,0.002181254581662822,39168.86154556689
1.05,8220.0,913.0558748931712,0.002176021820219837,39620.78791661342
1.05,8240.0,930.7878847697992,0.002169786374484441,40071.94081119218
1.05,8260.0,948.674596027344,0.0021646502775246493,40523.295035968295
1.05,8280.0,966.7097985177065,0.002159637087602146,40974.58212642074
1.05,8300.0,984.882099653396,0.002154462534333088,41425.184795253095
1.05,8320.0,1003.2022466155397,0.002149596602651545,41875.76361641359
1.06,6920.0,11.513179900394544,0.023857700644919655,1347.234692845872
1.06,6940.0,39.88027007240214,0.007795648458554704,4416.6689472419675
1.06,6960.0,57.83198603110812,0.005941102154518938,6063.200817438934
1.06,6980.0,73.15253378239254,0.005094992825918745,7338.386515377453
1.06,7000.0,87.24244704877268,0.004586614653541626,8422.338984162998
1.06,7020.0,100.57009937222169,0.004238545333147483,9388.984990330951
1.06,7040.0,113.47649354662332,0.0039802164675790145,10273.081155638662
1.06,7060.0,126.05479380649463,0.0037793681404658538,11093.618826765887
1.06,7080.0,138.40834589377152,0.0036177570539242354,11868.21015484973
1.06,7100.0,150.65129974267327,0.0034838840457251273,12604.44334161254
1.06,7120.0,162.77709780960453,0.003369582327050274,13308.15944815593
1.06,7140.0,174.8473230935421,0.003272011529009167,13985.565945736613
1.06,7160.0,186.90319392009752,0.003187222552691808,14640.673586970996
1.06,7180.0,198.9560255172528,0.0031135360501754936,15277.081453817344
1.06,7200.0,211.00299676159963,0.0030463838337828936,15895.28527053204
1.06,7220.0,223.08177076679644,0.002987051358792212,16498.785688738033
1.06,7240.0,235.20773620613036,0.0029336903665536907,17089.574939285507
1.06,7260.0,247.3711216885543,0.0028853510435672865,17667.984724336202
1.06,7280.0,259.5824835627488,0.0028389055199010797,18235.364342878238
1.06,7300.0,271.87869405501874,0.0027996067815408976,18794.332357604857
1.06,7320.0,284.24575105669595,0.0027615287843889033,19344.53604796641
1.06,7340.0,296.66845185062004,0.0027261328538403288,19885.361303767335
1.06,7360.0,309.1938479402098,0.00269446334907686,20420.59995355607
1.06,7380.0,321.78673319347075,0.0026642364113654738,20947.89601915986
1.06,7400.0,334.47916832502546,0.00263633122811901,21469.812345912185
1.06,7420.0,347.2619198043581,0.0026099962349752912,21986.121417224436
1.06,7440.0,360.1371618384761,0.002585211090214587,22496.89587130338
1.06,7460.0,373.11718721012573,0.002561942207215118,23003.44409910278
1.06,7480.0,386.1977429337702,0.0025401459360738293,23505.307215181718
1.06,7500.0,399.37728025287345,0.0025191141259037837,24002.8360006991
1.06,7520.0,412.6765112839751,0.002499869536662657,24497.27811328748
1.06,7540.0,426.0675049799301,0.0024809303387914976,24987.12993693739
1.06,7560.0,439.5833582997861,0.002463595352337507,25474.49287894729
1.06,7580.0,453.2099914416969,0.0024470557749215194,25958.69435710732
1.06,7600.0,466.9409819989268,0.0024311532606027192,26439.508637669176
1.06,7620.0,480.7912653855657,0.0024152922416314495,26917.619656918265
1.06,7640.0,494.76332177512074,0.002400917011682619,27393.708579332626
1.06,7660.0,508.8569732964999,0.002387290366706545,27867.476840360192
1.06,7680.0,523.0714179009606,0.0023744232349500035,28339.119728852267
1.06,7700.0,537.4077912821198,0.002361869345306031,28808.789309007378
1.06,7720.0,551.8540706727158,0.002349104142079488,29275.59870167548
1.06,7740.0,566.4439363815159,0.002338112729610572,29741.765375174145
1.06,7760.0,581.0695918967208,0.002326339103434185,30206.37644363004
1.06,7780.0,595.9038998168234,0.002316163286491933,30669.559809339553
1.06,7800.0,610.8471391850178,0.0023058219774279042,31130.36470514456
1.06,7820.0,625.9242677593604,0.002295609285005673,31589.95273086049
1.06,7840.0,641.1306275042699,0.002286110476387954,32048.431610444313
1.06,7860.0,656.4712098981022,0.002277271995964769,32505.896631872834
1.06,7880.0,671.9459168726166,0.0022683588346348593,32962.440511863446
1.06,7900.0,687.5355957051664,0.0022595686102165756,33417.015357951284
1.06,7920.0,703.261942704627,0.0022508957822424407,33870.81641792922
1.06,7940.0,719.1444670979268,0.002243521290806337,34325.07961113556
1.06,7960.0,735.1458116225928,0.0022358627336370243,34777.57499426152
1.06,7980.0,751.2637101566902,0.0022276295831144413,35228.34142637282
1.06,8000.0,767.5434573277759,0.0022208244120258645,35679.78595182016
1.06,8020.0,783.9639769120994,0.002214170817709164,36130.801901490166
1.06,8040.0,800.5033800246223,0.002207452208920422,36580.24613111308
1.06,8060.0,817.1867925449088,0.002200911313024997,37029.35747369875
1.06,8080.0,834.0119879455714,0.002194583242039299,37478.184369281385
1.06,8100.0,850.9812672116971,0.002188379355965468,37926.7763511455
1.06,8120.0,868.078792161925,0.00218212971126856,38374.25301945906
1.06,8140.0,885.3278611944098,0.002176579074560161,38821.878015572685
1.06,8160.0,902.7167877444072,0.0021708553304669934,39269.074275392115
1.06,8180.0,920.2526190660496,0.0021654858828658034,39716.19225048576
1.06,8200.0,937.9275145232828,0.002160171369607801,40162.92880651368
1.06,8220.0,955.7401695906667,0.0021546625169785246,40609.023315477745
1.06,8240.0,973.7132261392775,0.0021498670206414,41055.74635612197
1.06,8260.0,991.8220110093997,0.002145020264948409,41501.85469785421
1.06,8280.0,1010.0673244747819,0.002139876796624921,41947.377889087
1.07,6860.0,20.516024777580206,0.013434467272103446,2407.138223408416
1.07,6880.0,43.449778193461114,0.007146757147144108,4786.261551434189
1.07,6900.0,60.203007168967474,0.005673434443840955,6292.866323258102
1.07,6920.0,74.81908757510489,0.004936988441413729,7497.446874762347
1.07,6940.0,88.42492227467409,0.0044780092706911126,8534.667356512888
1.07,6960.0,101.3569868930842,0.00415581080941952,9466.427051141742
1.07,6980.0,113.92672385692991,0.003917032656717145,10323.332694820841
1.07,7000.0,126.20803344129226,0.0037273383823624153,11121.733814278487
1.07,7020.0,138.2776727990551,0.003574129478677376,11875.965179491439
1.07,7040.0,150.26003599690816,0.0034452000150255106,12594.82779489398
1.07,7060.0,162.1406985811012,0.003336422846368079,13283.128863488353
1.07,7080.0,173.97145054540283,0.0032419109869406236,13946.122937293912
1.07,7100.0,185.79577798016683,0.003160173261989662,14588.029824765588
1.07,7120.0,197.6277967311505,0.0030887483489738144,15212.234053277207
1.07,7140.0,209.4593151045484,0.003023648669938063,15819.074593464902
1.07,7160.0,221.3245505729597,0.0029657559063490085,16411.92443656092
1.07,7180.0,233.24294784982902,0.0029140089530864358,16992.674363098005
1.07,7200.0,245.20499654026293,0.0028663974284302003,17561.582607551944
1.07,7220.0,257.21520434578804,0.0028230492301772867,18119.93146791424
1.07,7240.0,269.30339899148316,0.00278380644217405,18669.562365634047
1.07,7260.0,281.4627332418612,0.0027465586977123632,19210.764735823963
1.07,7280.0,293.6930060189928,0.0027113228423904893,19743.65005683084
1.07,7300.0,306.02410896704527,0.002680667530959769,20271.247150579045
1.07,7320.0,318.4264047020611,0.0026513647865078374,20791.18306680063
1.07,7340.0,330.91757085217955,0.0026237393537879676,21305.175641828086
1.07,7360.0,343.50188274879525,0.0025973967303169706,21813.768539341385
1.07,7380.0,356.1892306686499,0.0025735549847591996,22317.869898825287
1.07,7400.0,368.97098421258084,0.0025505393520460664,22817.06202326229
1.07,7420.0,381.8630048136361,0.0025296693154388036,23312.603279552888
1.07,7440.0,394.8578533897885,0.0025092764022445198,23803.98847668893
1.07,7460.0,407.95607212636884,0.002490130519600566,24291.552544386053
1.07,7480.0,421.16299283984245,0.0024718065074371747,24775.563600535737
1.07,7500.0,434.47775077467946,0.0024546735752531664,25256.2816613232
1.07,7520.0,447.9072113764184,0.0024380301666476036,25733.971454418526
1.07,7540.0,461.4472205550354,0.0024219248572596784,26208.85228086145
1.07,7560.0,475.11913566676515,0.0024076397202724737,26682.10813413147
