lambda,T,S3/T,r_c,phi_esc,Gamma_H4
0.4,17676.474999999795,241.153491090597,0.24282438414835,59220.76966427576,1.2859088481623763e-67
0.4,17676.449999999793,240.6922072188001,0.31966387259778484,59241.06397795641,2.033730875649563e-67
0.4,17676.424999999792,240.24155665501092,0.24296667153574336,59261.22803795069,3.182623269538144e-67
0.4,17676.39999999979,239.78343454316249,0.2647352958950011,59281.592060791074,5.017637090797528e-67
0.4,17676.37499999979,239.33448084765882,0.2411667927648986,59301.539537797624,7.838880530772915e-67
0.4,17676.349999999788,238.87362784199138,0.27435676562523975,59322.18990524533,1.2392014312136728e-66
0.4,17676.324999999786,238.41304268463577,0.25997942728396634,59342.58534912914,1.958446666845004e-66
0.4,17676.299999999785,237.95533146332676,0.2469133267050928,59362.79794040735,3.0863053670291766e-66
0.4,17676.274999999783,237.49590897614635,0.24838385888384737,59383.12010277687,4.871942209392069e-66
0.4,17676.24999999978,237.0272036579273,0.32767622079470926,59403.695720737596,7.761915211867561e-66
0.4,17676.22499999978,236.56838617458897,0.26733123881770915,59424.24168193678,1.2245206407099145e-65
0.4,17676.19999999978,236.1093964445989,0.24958911373870468,59444.4579890253,1.9321249373098762e-65
0.4,17676.174999999777,235.63890211963306,0.24630145344095547,59465.4468912924,3.0836595032925372e-65
0.4,17676.149999999776,235.1769697770786,0.25324108623664443,59485.74182278291,4.879780949717452e-65
0.4,17676.124999999774,234.71042663927082,0.2541287299489632,59506.4441253272,7.757492592332679e-65
0.4,17676.099999999773,234.2429284046064,0.2549490178574106,59527.18458323689,1.2343888070403443e-64
0.4,17676.07499999977,233.77253689683607,0.33663651136608064,59547.9652290784,1.9698286777352383e-64
0.4,17676.04999999977,233.30664698108498,0.25639241653726547,59568.73601592583,3.12939116383476e-64
0.4,17676.02499999977,232.83535985154225,0.2907158968466536,59589.64591205164,4.9982448829472684e-64
0.4,17675.999999999767,232.36631621300103,0.2571473295258625,59610.50364281913,7.965343203800784e-64
0.4,17675.974999999766,231.89849026419049,0.256814499515282,59631.448367440105,1.267836896637649e-63
0.4,17675.949999999764,231.42751744702602,0.25704728881922284,59652.43331379907,2.0243119469658997e-63
0.4,17675.924999999763,230.94667105097338,0.25780039202768334,59673.501903236145,3.2639912251864397e-63
0.4,17675.89999999976,230.4745577776231,0.25886784901514726,59694.56762077829,5.217346021757641e-63
0.4,17675.87499999976,229.9954817175015,0.25986303727712373,59715.67924625759,8.397533480657768e-63
0.4,17675.84999999976,229.51814462825348,0.3436394409362881,59736.82963919328,1.3492758001321165e-62
