Step 0/1500000 | t=0.00e+00 | T=7405.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 224.76 ms/step | ETA: 5619.0 min

*** phi threshold exceeded: max|phi|=263782.3 > 50000.0
*** Switching to dense snapshots: every 5 steps

Step 510/1500000 | t=2.55e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 232.37 ms/step | ETA: 5807.2 min
Step 515/1500000 | t=2.58e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 232.12 ms/step | ETA: 5800.9 min
Step 520/1500000 | t=2.60e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 231.88 ms/step | ETA: 5795.0 min
Step 525/1500000 | t=2.63e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 231.64 ms/step | ETA: 5789.1 min
Step 530/1500000 | t=2.65e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 231.48 ms/step | ETA: 5785.0 min
Step 535/1500000 | t=2.68e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 231.24 ms/step | ETA: 5779.0 min
Step 540/1500000 | t=2.70e-01 | T=7405.0 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 231.02 ms/step | ETA: 5773.4 min
Step 545/1500000 | t=2.73e-01 | T=7405.0 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 230.82 ms/step | ETA: 5768.3 min
Step 550/1500000 | t=2.75e-01 | T=7405.0 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 230.67 ms/step | ETA: 5764.6 min
Step 555/1500000 | t=2.78e-01 | T=7405.0 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 230.97 ms/step | ETA: 5772.0 min
Step 560/1500000 | t=2.80e-01 | T=7405.0 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 230.72 ms/step | ETA: 5765.8 min
Step 565/1500000 | t=2.82e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 230.50 ms/step | ETA: 5760.5 min
Step 570/1500000 | t=2.85e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 230.33 ms/step | ETA: 5756.0 min
Step 575/1500000 | t=2.87e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 230.22 ms/step | ETA: 5753.3 min
Step 580/1500000 | t=2.90e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 230.04 ms/step | ETA: 5748.7 min
Step 585/1500000 | t=2.92e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.3 steps/s | 229.91 ms/step | ETA: 5745.5 min
Step 590/1500000 | t=2.95e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.4 steps/s | 229.71 ms/step | ETA: 5740.5 min
Step 595/1500000 | t=2.97e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.4 steps/s | 229.53 ms/step | ETA: 5736.0 min
Step 600/1500000 | t=3.00e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.4 steps/s | 229.39 ms/step | ETA: 5732.5 min
Step 605/1500000 | t=3.02e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.4 steps/s | 229.71 ms/step | ETA: 5740.5 min
Step 610/1500000 | t=3.05e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.4 steps/s | 229.51 ms/step | ETA: 5735.4 min
Step 615/1500000 | t=3.07e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.4 steps/s | 229.32 ms/step | ETA: 5730.6 min
Step 620/1500000 | t=3.10e-01 | T=7404.9 | a=1.000007 | H=2.41e-05 | 4.4 steps/s | 229.16 ms/step | ETA: 5726.6 min
Step 625/1500000 | t=3.12e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.99 ms/step | ETA: 5722.4 min
Step 630/1500000 | t=3.15e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.81 ms/step | ETA: 5718.0 min
Step 635/1500000 | t=3.18e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.72 ms/step | ETA: 5715.6 min
