Step 6250000/1000000000 | t=1.56e+00 | T=7349.7 | a=1.000037 | H=2.41e-05 | 255.3 steps/s | 3.92 ms/step | ETA: 64882.2 min
Step 6300000/1000000000 | t=1.58e+00 | T=7349.7 | a=1.000038 | H=2.41e-05 | 256.2 steps/s | 3.90 ms/step | ETA: 64647.6 min
Step 6350000/1000000000 | t=1.59e+00 | T=7349.7 | a=1.000038 | H=2.41e-05 | 257.1 steps/s | 3.89 ms/step | ETA: 64415.5 min
Step 6400000/1000000000 | t=1.60e+00 | T=7349.7 | a=1.000038 | H=2.41e-05 | 258.0 steps/s | 3.88 ms/step | ETA: 64185.6 min
Step 6450000/1000000000 | t=1.61e+00 | T=7349.7 | a=1.000038 | H=2.41e-05 | 258.9 steps/s | 3.86 ms/step | ETA: 63957.7 min
Step 6500000/1000000000 | t=1.63e+00 | T=7349.7 | a=1.000039 | H=2.41e-05 | 259.8 steps/s | 3.85 ms/step | ETA: 63731.3 min
Step 6550000/1000000000 | t=1.64e+00 | T=7349.7 | a=1.000039 | H=2.41e-05 | 260.7 steps/s | 3.84 ms/step | ETA: 63510.5 min
Step 6600000/1000000000 | t=1.65e+00 | T=7349.7 | a=1.000039 | H=2.41e-05 | 261.6 steps/s | 3.82 ms/step | ETA: 63294.3 min
Step 6650000/1000000000 | t=1.66e+00 | T=7349.7 | a=1.000040 | H=2.41e-05 | 262.4 steps/s | 3.81 ms/step | ETA: 63087.1 min
Step 6700000/1000000000 | t=1.68e+00 | T=7349.7 | a=1.000040 | H=2.41e-05 | 263.3 steps/s | 3.80 ms/step | ETA: 62871.7 min
Step 6750000/1000000000 | t=1.69e+00 | T=7349.7 | a=1.000040 | H=2.41e-05 | 264.2 steps/s | 3.79 ms/step | ETA: 62664.2 min
Step 6800000/1000000000 | t=1.70e+00 | T=7349.7 | a=1.000041 | H=2.41e-05 | 265.0 steps/s | 3.77 ms/step | ETA: 62460.3 min
Step 6850000/1000000000 | t=1.71e+00 | T=7349.7 | a=1.000041 | H=2.41e-05 | 265.9 steps/s | 3.76 ms/step | ETA: 62258.5 min
