======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-19 19:27:49
Log file: logs/simulation_20260219_192749.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------
OVERDAMPED MODE: η = 10.0 (rescaled: 1.00e-02)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7341.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7341.0...
  V'(0) = -3.3898e-08
  V'(VEV) = 7.1194e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = -3.3898e-08
  V'(1e0)   = -3.3899e+02
  V'(1e5)   = -9.9983e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  No barrier: V' < 0 everywhere (spinodal regime)
  Using thermal VEV: 1.0000e+11
  V'(escape) = 7.1194e-31

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/128x128_T0_7341_dt_1e-05_interval_50000_hubble_eta_10/field_states
Figures will be saved to: data/set6/128x128_T0_7341_dt_1e-05_interval_50000_hubble_eta_10/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 128×128, Steps: 1000000000, dt: 1.00e-05
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 3.8317e-05)
Overdamped mode: ENABLED (η = 10.0, no ringing)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Step 0/1000000000 | t=0.00e+00 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1196.3 steps/s | 0.00 ms/step | ETA: 0.0 min
Step 7100000/1000000000 | t=7.10e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.4 steps/s | 0.83 ms/step | ETA: 13717.2 min
Step 7150000/1000000000 | t=7.15e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.5 steps/s | 0.83 ms/step | ETA: 13715.0 min
Step 7200000/1000000000 | t=7.20e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1207.1 steps/s | 0.83 ms/step | ETA: 13708.3 min
Step 7250000/1000000000 | t=7.25e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1207.3 steps/s | 0.83 ms/step | ETA: 13704.7 min
Step 7300000/1000000000 | t=7.30e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1207.7 steps/s | 0.83 ms/step | ETA: 13699.1 min
Step 7350000/1000000000 | t=7.35e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.1 steps/s | 0.83 ms/step | ETA: 13694.0 min
Step 7400000/1000000000 | t=7.40e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.6 steps/s | 0.83 ms/step | ETA: 13688.5 min
Step 7450000/1000000000 | t=7.45e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.9 steps/s | 0.83 ms/step | ETA: 13683.7 min
Step 7500000/1000000000 | t=7.50e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.7 steps/s | 0.83 ms/step | ETA: 13685.8 min
Step 7550000/1000000000 | t=7.55e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.6 steps/s | 0.83 ms/step | ETA: 13686.3 min
Step 7600000/1000000000 | t=7.60e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.5 steps/s | 0.83 ms/step | ETA: 13686.1 min
Step 7650000/1000000000 | t=7.65e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.6 steps/s | 0.83 ms/step | ETA: 13684.5 min
Step 7700000/1000000000 | t=7.70e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.6 steps/s | 0.83 ms/step | ETA: 13684.0 min
Step 7750000/1000000000 | t=7.75e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.6 steps/s | 0.83 ms/step | ETA: 13683.1 min
Step 7800000/1000000000 | t=7.80e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.4 steps/s | 0.83 ms/step | ETA: 13684.2 min
Step 7850000/1000000000 | t=7.85e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.6 steps/s | 0.83 ms/step | ETA: 13682.0 min
Step 7900000/1000000000 | t=7.90e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.4 steps/s | 0.83 ms/step | ETA: 13683.0 min
Step 7950000/1000000000 | t=7.95e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.6 steps/s | 0.83 ms/step | ETA: 13680.0 min
Step 8000000/1000000000 | t=8.00e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.5 steps/s | 0.83 ms/step | ETA: 13680.3 min
Step 8050000/1000000000 | t=8.05e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.1 steps/s | 0.83 ms/step | ETA: 13684.7 min
Step 8100000/1000000000 | t=8.10e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.3 steps/s | 0.83 ms/step | ETA: 13682.0 min
Step 8150000/1000000000 | t=8.15e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.4 steps/s | 0.83 ms/step | ETA: 13679.5 min
Step 8200000/1000000000 | t=8.20e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1208.6 steps/s | 0.83 ms/step | ETA: 13676.6 min
Step 8250000/1000000000 | t=8.25e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1209.1 steps/s | 0.83 ms/step | ETA: 13670.8 min
Step 8300000/1000000000 | t=8.30e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1209.2 steps/s | 0.83 ms/step | ETA: 13668.7 min
Step 8350000/1000000000 | t=8.35e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1209.6 steps/s | 0.83 ms/step | ETA: 13663.7 min
Step 8400000/1000000000 | t=8.40e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1209.7 steps/s | 0.83 ms/step | ETA: 13661.9 min
Step 8450000/1000000000 | t=8.45e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1209.2 steps/s | 0.83 ms/step | ETA: 13666.6 min
Step 8500000/1000000000 | t=8.50e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1209.4 steps/s | 0.83 ms/step | ETA: 13663.9 min
Step 8550000/1000000000 | t=8.55e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1209.6 steps/s | 0.83 ms/step | ETA: 13661.1 min
Step 8600000/1000000000 | t=8.60e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1210.1 steps/s | 0.83 ms/step | ETA: 13654.8 min
Step 8650000/1000000000 | t=8.65e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1210.5 steps/s | 0.83 ms/step | ETA: 13649.1 min
Step 8700000/1000000000 | t=8.70e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1210.7 steps/s | 0.83 ms/step | ETA: 13646.1 min
Step 8750000/1000000000 | t=8.75e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1211.3 steps/s | 0.83 ms/step | ETA: 13638.6 min
Step 8800000/1000000000 | t=8.80e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1211.7 steps/s | 0.83 ms/step | ETA: 13633.2 min
Step 8850000/1000000000 | t=8.85e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1212.2 steps/s | 0.82 ms/step | ETA: 13627.8 min
Step 8900000/1000000000 | t=8.90e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1212.4 steps/s | 0.82 ms/step | ETA: 13624.5 min
Step 8950000/1000000000 | t=8.95e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1212.8 steps/s | 0.82 ms/step | ETA: 13619.6 min
Step 9000000/1000000000 | t=9.00e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1213.2 steps/s | 0.82 ms/step | ETA: 13613.7 min
Step 9050000/1000000000 | t=9.05e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1213.8 steps/s | 0.82 ms/step | ETA: 13606.2 min
Step 9100000/1000000000 | t=9.10e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1214.2 steps/s | 0.82 ms/step | ETA: 13601.6 min
Step 9150000/1000000000 | t=9.15e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1214.5 steps/s | 0.82 ms/step | ETA: 13597.3 min
Step 9200000/1000000000 | t=9.20e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1214.9 steps/s | 0.82 ms/step | ETA: 13592.2 min
Step 9250000/1000000000 | t=9.25e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1215.3 steps/s | 0.82 ms/step | ETA: 13587.6 min
Step 9300000/1000000000 | t=9.30e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1215.4 steps/s | 0.82 ms/step | ETA: 13585.0 min
Step 9350000/1000000000 | t=9.35e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1215.6 steps/s | 0.82 ms/step | ETA: 13582.3 min
Step 9400000/1000000000 | t=9.40e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1216.1 steps/s | 0.82 ms/step | ETA: 13575.9 min
Step 9450000/1000000000 | t=9.45e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1216.8 steps/s | 0.82 ms/step | ETA: 13567.7 min
Step 9500000/1000000000 | t=9.50e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1217.4 steps/s | 0.82 ms/step | ETA: 13560.1 min
Step 9550000/1000000000 | t=9.55e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1218.0 steps/s | 0.82 ms/step | ETA: 13552.8 min
Step 9600000/1000000000 | t=9.60e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1218.7 steps/s | 0.82 ms/step | ETA: 13545.0 min
Step 9650000/1000000000 | t=9.65e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1219.3 steps/s | 0.82 ms/step | ETA: 13537.0 min
Step 9700000/1000000000 | t=9.70e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1219.9 steps/s | 0.82 ms/step | ETA: 13529.4 min
Step 9750000/1000000000 | t=9.75e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1220.5 steps/s | 0.82 ms/step | ETA: 13522.4 min
Step 9800000/1000000000 | t=9.80e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1221.1 steps/s | 0.82 ms/step | ETA: 13515.1 min
Step 9850000/1000000000 | t=9.85e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1221.7 steps/s | 0.82 ms/step | ETA: 13507.7 min
Step 9900000/1000000000 | t=9.90e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1222.4 steps/s | 0.82 ms/step | ETA: 13499.3 min
Step 9950000/1000000000 | t=9.95e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1223.0 steps/s | 0.82 ms/step | ETA: 13491.8 min
Step 10000000/1000000000 | t=1.00e-01 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1223.7 steps/s | 0.82 ms/step | ETA: 13484.0 min
Step 10050000/1000000000 | t=1.01e-01 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1224.4 steps/s | 0.82 ms/step | ETA: 13475.3 min
Step 10100000/1000000000 | t=1.01e-01 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1224.7 steps/s | 0.82 ms/step | ETA: 13471.0 min
Step 10150000/1000000000 | t=1.02e-01 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1225.3 steps/s | 0.82 ms/step | ETA: 13464.2 min
Step 10200000/1000000000 | t=1.02e-01 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1225.9 steps/s | 0.82 ms/step | ETA: 13456.4 min
Step 10250000/1000000000 | t=1.03e-01 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1226.7 steps/s | 0.82 ms/step | ETA: 13447.8 min
Step 10300000/1000000000 | t=1.03e-01 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1227.4 steps/s | 0.81 ms/step | ETA: 13438.9 min
Step 10350000/1000000000 | t=1.04e-01 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1228.1 steps/s | 0.81 ms/step | ETA: 13430.3 min
Step 10400000/1000000000 | t=1.04e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1228.5 steps/s | 0.81 ms/step | ETA: 13425.2 min
Step 10450000/1000000000 | t=1.05e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1229.3 steps/s | 0.81 ms/step | ETA: 13416.7 min
Step 10500000/1000000000 | t=1.05e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1230.1 steps/s | 0.81 ms/step | ETA: 13407.2 min
Step 10550000/1000000000 | t=1.06e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1230.5 steps/s | 0.81 ms/step | ETA: 13402.3 min
Step 10600000/1000000000 | t=1.06e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1230.8 steps/s | 0.81 ms/step | ETA: 13397.9 min
Step 10650000/1000000000 | t=1.07e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1231.1 steps/s | 0.81 ms/step | ETA: 13393.4 min
Step 10700000/1000000000 | t=1.07e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1231.4 steps/s | 0.81 ms/step | ETA: 13389.7 min
Step 10750000/1000000000 | t=1.08e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1231.8 steps/s | 0.81 ms/step | ETA: 13385.4 min
Step 10800000/1000000000 | t=1.08e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1232.0 steps/s | 0.81 ms/step | ETA: 13381.7 min
Step 10850000/1000000000 | t=1.09e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1232.3 steps/s | 0.81 ms/step | ETA: 13377.9 min
Step 10900000/1000000000 | t=1.09e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1232.4 steps/s | 0.81 ms/step | ETA: 13376.1 min
Step 10950000/1000000000 | t=1.10e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1232.8 steps/s | 0.81 ms/step | ETA: 13371.8 min
Step 11000000/1000000000 | t=1.10e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1232.9 steps/s | 0.81 ms/step | ETA: 13369.7 min
Step 11050000/1000000000 | t=1.11e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1233.5 steps/s | 0.81 ms/step | ETA: 13362.4 min
Step 11100000/1000000000 | t=1.11e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1234.2 steps/s | 0.81 ms/step | ETA: 13354.0 min
Step 11150000/1000000000 | t=1.12e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1234.9 steps/s | 0.81 ms/step | ETA: 13345.8 min
Step 11200000/1000000000 | t=1.12e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1235.6 steps/s | 0.81 ms/step | ETA: 13337.5 min
Step 11250000/1000000000 | t=1.13e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1236.3 steps/s | 0.81 ms/step | ETA: 13329.0 min
Step 11300000/1000000000 | t=1.13e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1236.9 steps/s | 0.81 ms/step | ETA: 13321.8 min
Step 11350000/1000000000 | t=1.14e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1237.5 steps/s | 0.81 ms/step | ETA: 13314.8 min
Step 11400000/1000000000 | t=1.14e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1238.1 steps/s | 0.81 ms/step | ETA: 13307.7 min
Step 11450000/1000000000 | t=1.15e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1238.7 steps/s | 0.81 ms/step | ETA: 13300.7 min
Step 11500000/1000000000 | t=1.15e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1239.4 steps/s | 0.81 ms/step | ETA: 13292.6 min
Step 11550000/1000000000 | t=1.16e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1240.2 steps/s | 0.81 ms/step | ETA: 13283.5 min
Step 11600000/1000000000 | t=1.16e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1240.8 steps/s | 0.81 ms/step | ETA: 13276.1 min
Step 11650000/1000000000 | t=1.17e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1241.4 steps/s | 0.81 ms/step | ETA: 13269.3 min
Step 11700000/1000000000 | t=1.17e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1241.9 steps/s | 0.81 ms/step | ETA: 13263.5 min
Step 11750000/1000000000 | t=1.18e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1242.1 steps/s | 0.81 ms/step | ETA: 13260.0 min
Step 11800000/1000000000 | t=1.18e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1242.4 steps/s | 0.80 ms/step | ETA: 13256.7 min
Step 11850000/1000000000 | t=1.19e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1242.4 steps/s | 0.80 ms/step | ETA: 13255.5 min
Step 11900000/1000000000 | t=1.19e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1242.6 steps/s | 0.80 ms/step | ETA: 13253.0 min
Step 11950000/1000000000 | t=1.20e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1242.8 steps/s | 0.80 ms/step | ETA: 13250.7 min
Step 12000000/1000000000 | t=1.20e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1243.0 steps/s | 0.80 ms/step | ETA: 13247.8 min
Step 12050000/1000000000 | t=1.21e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1243.3 steps/s | 0.80 ms/step | ETA: 13243.7 min
Step 12100000/1000000000 | t=1.21e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1243.6 steps/s | 0.80 ms/step | ETA: 13239.4 min
Step 12150000/1000000000 | t=1.22e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1243.9 steps/s | 0.80 ms/step | ETA: 13235.4 min
Step 12200000/1000000000 | t=1.22e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1243.9 steps/s | 0.80 ms/step | ETA: 13234.9 min
Step 12250000/1000000000 | t=1.23e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1244.2 steps/s | 0.80 ms/step | ETA: 13231.8 min
Step 12300000/1000000000 | t=1.23e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1244.3 steps/s | 0.80 ms/step | ETA: 13229.7 min
Step 12350000/1000000000 | t=1.24e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1244.4 steps/s | 0.80 ms/step | ETA: 13227.5 min
Step 12400000/1000000000 | t=1.24e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1244.5 steps/s | 0.80 ms/step | ETA: 13226.0 min
Step 12450000/1000000000 | t=1.25e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1244.7 steps/s | 0.80 ms/step | ETA: 13223.0 min
Step 12500000/1000000000 | t=1.25e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1244.7 steps/s | 0.80 ms/step | ETA: 13222.9 min
Step 12550000/1000000000 | t=1.26e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1245.0 steps/s | 0.80 ms/step | ETA: 13218.8 min
Step 12600000/1000000000 | t=1.26e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1245.3 steps/s | 0.80 ms/step | ETA: 13214.9 min
Step 12650000/1000000000 | t=1.27e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1245.7 steps/s | 0.80 ms/step | ETA: 13210.1 min
Step 12700000/1000000000 | t=1.27e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1246.0 steps/s | 0.80 ms/step | ETA: 13206.2 min
Step 12750000/1000000000 | t=1.28e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1246.2 steps/s | 0.80 ms/step | ETA: 13203.0 min
Step 12800000/1000000000 | t=1.28e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1246.4 steps/s | 0.80 ms/step | ETA: 13200.4 min
Step 12850000/1000000000 | t=1.29e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1246.6 steps/s | 0.80 ms/step | ETA: 13197.4 min
Step 12900000/1000000000 | t=1.29e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1246.8 steps/s | 0.80 ms/step | ETA: 13195.6 min
Step 12950000/1000000000 | t=1.30e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1246.5 steps/s | 0.80 ms/step | ETA: 13197.3 min
Step 13000000/1000000000 | t=1.30e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1246.7 steps/s | 0.80 ms/step | ETA: 13194.8 min
Step 13050000/1000000000 | t=1.31e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1247.1 steps/s | 0.80 ms/step | ETA: 13190.2 min
Step 13100000/1000000000 | t=1.31e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1247.4 steps/s | 0.80 ms/step | ETA: 13185.7 min
Step 13150000/1000000000 | t=1.32e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1247.7 steps/s | 0.80 ms/step | ETA: 13181.7 min
Step 13200000/1000000000 | t=1.32e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1248.1 steps/s | 0.80 ms/step | ETA: 13177.7 min
Step 13250000/1000000000 | t=1.33e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1248.4 steps/s | 0.80 ms/step | ETA: 13173.5 min
Step 13300000/1000000000 | t=1.33e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1248.6 steps/s | 0.80 ms/step | ETA: 13171.0 min
Step 13350000/1000000000 | t=1.34e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1248.9 steps/s | 0.80 ms/step | ETA: 13167.2 min
Step 13400000/1000000000 | t=1.34e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1249.2 steps/s | 0.80 ms/step | ETA: 13162.8 min
Step 13450000/1000000000 | t=1.35e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1249.5 steps/s | 0.80 ms/step | ETA: 13159.5 min
Step 13500000/1000000000 | t=1.35e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1249.9 steps/s | 0.80 ms/step | ETA: 13154.8 min
Step 13550000/1000000000 | t=1.36e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1250.2 steps/s | 0.80 ms/step | ETA: 13151.1 min
Step 13600000/1000000000 | t=1.36e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1250.4 steps/s | 0.80 ms/step | ETA: 13147.3 min
Step 13650000/1000000000 | t=1.37e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1250.7 steps/s | 0.80 ms/step | ETA: 13143.9 min
Step 13700000/1000000000 | t=1.37e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1250.9 steps/s | 0.80 ms/step | ETA: 13141.0 min
Step 13750000/1000000000 | t=1.38e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1251.2 steps/s | 0.80 ms/step | ETA: 13137.8 min
Step 13800000/1000000000 | t=1.38e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1251.4 steps/s | 0.80 ms/step | ETA: 13135.0 min
Step 13850000/1000000000 | t=1.39e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1251.6 steps/s | 0.80 ms/step | ETA: 13131.7 min
Step 13900000/1000000000 | t=1.39e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1251.9 steps/s | 0.80 ms/step | ETA: 13128.2 min
Step 13950000/1000000000 | t=1.40e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1252.0 steps/s | 0.80 ms/step | ETA: 13126.1 min
Step 14000000/1000000000 | t=1.40e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1252.1 steps/s | 0.80 ms/step | ETA: 13124.1 min
Step 14050000/1000000000 | t=1.41e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1252.4 steps/s | 0.80 ms/step | ETA: 13121.1 min
Step 14100000/1000000000 | t=1.41e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1252.5 steps/s | 0.80 ms/step | ETA: 13119.5 min
Step 14150000/1000000000 | t=1.41e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1252.7 steps/s | 0.80 ms/step | ETA: 13116.4 min
Step 14200000/1000000000 | t=1.42e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1252.9 steps/s | 0.80 ms/step | ETA: 13113.8 min
Step 14250000/1000000000 | t=1.42e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1253.0 steps/s | 0.80 ms/step | ETA: 13111.5 min
Step 14300000/1000000000 | t=1.43e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1253.2 steps/s | 0.80 ms/step | ETA: 13109.0 min
Step 14350000/1000000000 | t=1.43e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1253.4 steps/s | 0.80 ms/step | ETA: 13105.9 min
Step 14400000/1000000000 | t=1.44e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1253.6 steps/s | 0.80 ms/step | ETA: 13103.5 min
Step 14450000/1000000000 | t=1.44e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1253.9 steps/s | 0.80 ms/step | ETA: 13099.6 min
Step 14500000/1000000000 | t=1.45e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1254.2 steps/s | 0.80 ms/step | ETA: 13096.1 min
Step 14550000/1000000000 | t=1.45e-01 | T=7341.0 | a=1.000003 | H=2.41e-05 | 1254.4 steps/s | 0.80 ms/step | ETA: 13093.6 min
Step 14600000/1000000000 | t=1.46e-01 | T=7341.0 | a=1.000004 | H=2.41e-05 | 1254.6 steps/s | 0.80 ms/step | ETA: 13090.4 min
Step 14650000/1000000000 | t=1.46e-01 | T=7341.0 | a=1.000004 | H=2.41e-05 | 1254.9 steps/s | 0.80 ms/step | ETA: 13087.2 min
Step 14700000/1000000000 | t=1.47e-01 | T=7341.0 | a=1.000004 | H=2.41e-05 | 1255.1 steps/s | 0.80 ms/step | ETA: 13083.7 min
Step 14750000/1000000000 | t=1.47e-01 | T=7341.0 | a=1.000004 | H=2.41e-05 | 1255.4 steps/s | 0.80 ms/step | ETA: 13080.5 min
Step 14800000/1000000000 | t=1.48e-01 | T=7341.0 | a=1.000004 | H=2.41e-05 | 1255.5 steps/s | 0.80 ms/step | ETA: 13078.2 min
Step 14850000/1000000000 | t=1.48e-01 | T=7341.0 | a=1.000004 | H=2.41e-05 | 1255.7 steps/s | 0.80 ms/step | ETA: 13075.7 min
