Step 20190/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.3 steps/s | 96.78 ms/step | ETA: 16130555.1 min
Step 20195/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.3 steps/s | 96.88 ms/step | ETA: 16146817.2 min
Step 20200/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.3 steps/s | 96.98 ms/step | ETA: 16162881.7 min
Step 20205/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.3 steps/s | 97.07 ms/step | ETA: 16179023.0 min
Step 20210/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.3 steps/s | 97.17 ms/step | ETA: 16195611.9 min
Step 20215/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.3 steps/s | 97.28 ms/step | ETA: 16212633.2 min
Step 20220/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.3 steps/s | 97.41 ms/step | ETA: 16234456.0 min
Step 20225/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.3 steps/s | 97.53 ms/step | ETA: 16255202.0 min
Step 20230/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.2 steps/s | 97.66 ms/step | ETA: 16276595.4 min
Step 20235/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.2 steps/s | 97.79 ms/step | ETA: 16298209.6 min
Step 20240/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.2 steps/s | 98.03 ms/step | ETA: 16338254.4 min
Step 20245/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.2 steps/s | 98.15 ms/step | ETA: 16359110.7 min
Step 20250/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.2 steps/s | 98.28 ms/step | ETA: 16380279.5 min
