Step 0/1000000 | t=0.00e+00 | T=15000.0 | a=1.000000 | H=2.41e-05 | 2.1 steps/s | 486.86 ms/step | ETA: 8114.4 min

*** phi threshold exceeded: max|phi|=10118.0 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 8100/1000000 | t=8.10e-01 | T=14999.7 | a=1.000019 | H=2.41e-05 | 11.9 steps/s | 83.72 ms/step | ETA: 1384.1 min
Step 8200/1000000 | t=8.20e-01 | T=14999.7 | a=1.000020 | H=2.41e-05 | 12.0 steps/s | 83.61 ms/step | ETA: 1382.0 min
Step 8300/1000000 | t=8.30e-01 | T=14999.7 | a=1.000020 | H=2.41e-05 | 12.0 steps/s | 83.50 ms/step | ETA: 1380.1 min
Step 8400/1000000 | t=8.40e-01 | T=14999.7 | a=1.000020 | H=2.41e-05 | 12.0 steps/s | 83.39 ms/step | ETA: 1378.2 min
Step 8500/1000000 | t=8.50e-01 | T=14999.7 | a=1.000020 | H=2.41e-05 | 12.0 steps/s | 83.31 ms/step | ETA: 1376.6 min
Step 8600/1000000 | t=8.60e-01 | T=14999.7 | a=1.000021 | H=2.41e-05 | 12.0 steps/s | 83.20 ms/step | ETA: 1374.8 min
Step 8700/1000000 | t=8.70e-01 | T=14999.7 | a=1.000021 | H=2.41e-05 | 12.0 steps/s | 83.15 ms/step | ETA: 1373.8 min
Step 8800/1000000 | t=8.80e-01 | T=14999.7 | a=1.000021 | H=2.41e-05 | 12.0 steps/s | 83.09 ms/step | ETA: 1372.7 min
Step 8900/1000000 | t=8.90e-01 | T=14999.7 | a=1.000021 | H=2.41e-05 | 12.0 steps/s | 83.04 ms/step | ETA: 1371.7 min
Step 9000/1000000 | t=9.00e-01 | T=14999.7 | a=1.000022 | H=2.41e-05 | 12.1 steps/s | 82.95 ms/step | ETA: 1370.0 min
Step 9100/1000000 | t=9.10e-01 | T=14999.7 | a=1.000022 | H=2.41e-05 | 12.1 steps/s | 82.86 ms/step | ETA: 1368.4 min
Step 9200/1000000 | t=9.20e-01 | T=14999.7 | a=1.000022 | H=2.41e-05 | 12.1 steps/s | 82.76 ms/step | ETA: 1366.6 min
Step 9300/1000000 | t=9.30e-01 | T=14999.7 | a=1.000022 | H=2.41e-05 | 12.1 steps/s | 82.67 ms/step | ETA: 1365.0 min
Step 9400/1000000 | t=9.40e-01 | T=14999.7 | a=1.000023 | H=2.41e-05 | 12.1 steps/s | 82.60 ms/step | ETA: 1363.7 min
Step 9500/1000000 | t=9.50e-01 | T=14999.7 | a=1.000023 | H=2.41e-05 | 12.1 steps/s | 82.51 ms/step | ETA: 1362.0 min
Step 9600/1000000 | t=9.60e-01 | T=14999.7 | a=1.000023 | H=2.41e-05 | 12.1 steps/s | 82.43 ms/step | ETA: 1360.6 min
Step 9700/1000000 | t=9.70e-01 | T=14999.6 | a=1.000023 | H=2.41e-05 | 12.1 steps/s | 82.36 ms/step | ETA: 1359.3 min
Step 9800/1000000 | t=9.80e-01 | T=14999.6 | a=1.000024 | H=2.41e-05 | 12.1 steps/s | 82.31 ms/step | ETA: 1358.4 min
Step 9900/1000000 | t=9.90e-01 | T=14999.6 | a=1.000024 | H=2.41e-05 | 12.2 steps/s | 82.23 ms/step | ETA: 1356.9 min
Step 10000/1000000 | t=1.00e+00 | T=14999.6 | a=1.000024 | H=2.41e-05 | 12.2 steps/s | 82.14 ms/step | ETA: 1355.4 min
Step 10100/1000000 | t=1.01e+00 | T=14999.6 | a=1.000024 | H=2.41e-05 | 12.2 steps/s | 82.07 ms/step | ETA: 1354.0 min
Step 10200/1000000 | t=1.02e+00 | T=14999.6 | a=1.000025 | H=2.41e-05 | 12.2 steps/s | 81.99 ms/step | ETA: 1352.6 min
Step 10300/1000000 | t=1.03e+00 | T=14999.6 | a=1.000025 | H=2.41e-05 | 12.2 steps/s | 81.98 ms/step | ETA: 1352.2 min
Step 10400/1000000 | t=1.04e+00 | T=14999.6 | a=1.000025 | H=2.41e-05 | 12.2 steps/s | 82.01 ms/step | ETA: 1352.6 min
Step 10500/1000000 | t=1.05e+00 | T=14999.6 | a=1.000025 | H=2.41e-05 | 12.2 steps/s | 81.97 ms/step | ETA: 1351.8 min
Step 10600/1000000 | t=1.06e+00 | T=14999.6 | a=1.000026 | H=2.41e-05 | 12.2 steps/s | 81.90 ms/step | ETA: 1350.6 min
Step 10700/1000000 | t=1.07e+00 | T=14999.6 | a=1.000026 | H=2.41e-05 | 12.2 steps/s | 81.84 ms/step | ETA: 1349.3 min
Step 10800/1000000 | t=1.08e+00 | T=14999.6 | a=1.000026 | H=2.41e-05 | 12.2 steps/s | 81.81 ms/step | ETA: 1348.7 min
Step 10900/1000000 | t=1.09e+00 | T=14999.6 | a=1.000026 | H=2.41e-05 | 12.2 steps/s | 81.74 ms/step | ETA: 1347.6 min
Step 11000/1000000 | t=1.10e+00 | T=14999.6 | a=1.000026 | H=2.41e-05 | 12.2 steps/s | 81.68 ms/step | ETA: 1346.4 min
Step 11100/1000000 | t=1.11e+00 | T=14999.6 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.62 ms/step | ETA: 1345.2 min
Step 11200/1000000 | t=1.12e+00 | T=14999.6 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.57 ms/step | ETA: 1344.2 min
Step 11300/1000000 | t=1.13e+00 | T=14999.6 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.52 ms/step | ETA: 1343.2 min
Step 11400/1000000 | t=1.14e+00 | T=14999.6 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.47 ms/step | ETA: 1342.3 min
Step 11500/1000000 | t=1.15e+00 | T=14999.6 | a=1.000028 | H=2.41e-05 | 12.3 steps/s | 81.42 ms/step | ETA: 1341.4 min
Step 11600/1000000 | t=1.16e+00 | T=14999.6 | a=1.000028 | H=2.41e-05 | 12.3 steps/s | 81.38 ms/step | ETA: 1340.7 min
Step 11700/1000000 | t=1.17e+00 | T=14999.6 | a=1.000028 | H=2.41e-05 | 12.3 steps/s | 81.33 ms/step | ETA: 1339.6 min
Step 11800/1000000 | t=1.18e+00 | T=14999.6 | a=1.000028 | H=2.41e-05 | 12.3 steps/s | 81.30 ms/step | ETA: 1339.1 min
Step 11900/1000000 | t=1.19e+00 | T=14999.6 | a=1.000029 | H=2.41e-05 | 12.3 steps/s | 81.25 ms/step | ETA: 1338.1 min
Step 12000/1000000 | t=1.20e+00 | T=14999.6 | a=1.000029 | H=2.41e-05 | 12.3 steps/s | 81.22 ms/step | ETA: 1337.4 min
Step 12100/1000000 | t=1.21e+00 | T=14999.6 | a=1.000029 | H=2.41e-05 | 12.3 steps/s | 81.25 ms/step | ETA: 1337.8 min
Step 12200/1000000 | t=1.22e+00 | T=14999.6 | a=1.000029 | H=2.41e-05 | 12.3 steps/s | 81.20 ms/step | ETA: 1336.9 min
Step 12300/1000000 | t=1.23e+00 | T=14999.6 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.16 ms/step | ETA: 1336.0 min
Step 12400/1000000 | t=1.24e+00 | T=14999.6 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.11 ms/step | ETA: 1335.1 min
Step 12500/1000000 | t=1.25e+00 | T=14999.5 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.06 ms/step | ETA: 1334.1 min
