Step 6800/10000000000 | t=2.04e+00 | T=7399.6 | a=1.000049 | H=2.41e-05 | 6.0 steps/s | 166.99 ms/step | ETA: 27831050.4 min
Step 6900/10000000000 | t=2.07e+00 | T=7399.6 | a=1.000050 | H=2.41e-05 | 6.0 steps/s | 166.93 ms/step | ETA: 27822262.0 min
Step 7000/10000000000 | t=2.10e+00 | T=7399.6 | a=1.000051 | H=2.41e-05 | 6.0 steps/s | 166.99 ms/step | ETA: 27832250.6 min
Step 7100/10000000000 | t=2.13e+00 | T=7399.6 | a=1.000051 | H=2.41e-05 | 6.0 steps/s | 167.22 ms/step | ETA: 27870240.0 min
Step 7200/10000000000 | t=2.16e+00 | T=7399.6 | a=1.000052 | H=2.41e-05 | 6.0 steps/s | 167.63 ms/step | ETA: 27938166.2 min
Step 7300/10000000000 | t=2.19e+00 | T=7399.6 | a=1.000053 | H=2.41e-05 | 5.9 steps/s | 168.08 ms/step | ETA: 28013073.4 min
Step 7400/10000000000 | t=2.22e+00 | T=7399.6 | a=1.000053 | H=2.41e-05 | 5.9 steps/s | 168.17 ms/step | ETA: 28028104.2 min
Step 7500/10000000000 | t=2.25e+00 | T=7399.6 | a=1.000054 | H=2.41e-05 | 5.9 steps/s | 168.23 ms/step | ETA: 28038482.5 min
Step 7600/10000000000 | t=2.28e+00 | T=7399.6 | a=1.000055 | H=2.41e-05 | 5.9 steps/s | 168.36 ms/step | ETA: 28059680.0 min
Step 7700/10000000000 | t=2.31e+00 | T=7399.6 | a=1.000056 | H=2.41e-05 | 5.9 steps/s | 168.41 ms/step | ETA: 28068155.3 min
Step 7800/10000000000 | t=2.34e+00 | T=7399.6 | a=1.000056 | H=2.41e-05 | 5.9 steps/s | 168.60 ms/step | ETA: 28099916.5 min
Step 7900/10000000000 | t=2.37e+00 | T=7399.6 | a=1.000057 | H=2.41e-05 | 5.9 steps/s | 168.89 ms/step | ETA: 28148703.8 min
Step 8000/10000000000 | t=2.40e+00 | T=7399.6 | a=1.000058 | H=2.41e-05 | 5.9 steps/s | 168.91 ms/step | ETA: 28151090.4 min
Step 8100/10000000000 | t=2.43e+00 | T=7399.6 | a=1.000058 | H=2.41e-05 | 5.9 steps/s | 169.01 ms/step | ETA: 28168468.3 min
Step 8200/10000000000 | t=2.46e+00 | T=7399.6 | a=1.000059 | H=2.41e-05 | 5.9 steps/s | 169.21 ms/step | ETA: 28201991.4 min
Step 8300/10000000000 | t=2.49e+00 | T=7399.6 | a=1.000060 | H=2.41e-05 | 5.9 steps/s | 169.54 ms/step | ETA: 28256379.3 min
Step 8400/10000000000 | t=2.52e+00 | T=7399.6 | a=1.000061 | H=2.41e-05 | 5.9 steps/s | 169.70 ms/step | ETA: 28282866.7 min
Step 8500/10000000000 | t=2.55e+00 | T=7399.5 | a=1.000061 | H=2.41e-05 | 5.9 steps/s | 169.75 ms/step | ETA: 28292377.6 min
Step 8600/10000000000 | t=2.58e+00 | T=7399.5 | a=1.000062 | H=2.41e-05 | 5.9 steps/s | 169.92 ms/step | ETA: 28319285.0 min
Step 8700/10000000000 | t=2.61e+00 | T=7399.5 | a=1.000063 | H=2.41e-05 | 5.9 steps/s | 170.02 ms/step | ETA: 28336785.8 min
Step 8800/10000000000 | t=2.64e+00 | T=7399.5 | a=1.000064 | H=2.41e-05 | 5.9 steps/s | 170.23 ms/step | ETA: 28371774.9 min
Step 8900/10000000000 | t=2.67e+00 | T=7399.5 | a=1.000064 | H=2.41e-05 | 5.9 steps/s | 170.11 ms/step | ETA: 28352345.5 min
