Step 14960/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.2 steps/s | 97.69 ms/step | ETA: 789.7 min
Step 14970/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.2 steps/s | 97.86 ms/step | ETA: 791.0 min
Step 14980/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.2 steps/s | 98.13 ms/step | ETA: 793.3 min
Step 14990/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.2 steps/s | 98.32 ms/step | ETA: 794.8 min
Step 15000/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.2 steps/s | 98.46 ms/step | ETA: 795.9 min
Step 15010/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.1 steps/s | 98.60 ms/step | ETA: 797.0 min
Step 15020/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.1 steps/s | 98.74 ms/step | ETA: 798.1 min
Step 15030/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.1 steps/s | 98.89 ms/step | ETA: 799.3 min
Step 15040/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.1 steps/s | 99.03 ms/step | ETA: 800.4 min
Step 15050/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.1 steps/s | 99.17 ms/step | ETA: 801.5 min
Step 15060/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.1 steps/s | 99.32 ms/step | ETA: 802.8 min
Step 15070/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.1 steps/s | 99.47 ms/step | ETA: 803.9 min
Step 15080/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.0 steps/s | 99.77 ms/step | ETA: 806.3 min
Step 15090/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.0 steps/s | 99.90 ms/step | ETA: 807.4 min
Step 15100/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.0 steps/s | 100.05 ms/step | ETA: 808.5 min
Step 15110/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.0 steps/s | 100.18 ms/step | ETA: 809.6 min
Step 15120/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.0 steps/s | 100.32 ms/step | ETA: 810.7 min
Step 15130/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.0 steps/s | 100.45 ms/step | ETA: 811.8 min
Step 15140/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 9.9 steps/s | 100.59 ms/step | ETA: 812.8 min
Step 15150/500000 | t=1.51e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 9.9 steps/s | 100.72 ms/step | ETA: 813.9 min
Step 15160/500000 | t=1.52e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 9.9 steps/s | 100.86 ms/step | ETA: 815.0 min
Step 15170/500000 | t=1.52e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 9.9 steps/s | 101.00 ms/step | ETA: 816.1 min
Step 15180/500000 | t=1.52e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.9 steps/s | 101.28 ms/step | ETA: 818.4 min
Step 15190/500000 | t=1.52e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.9 steps/s | 101.42 ms/step | ETA: 819.5 min
Step 15200/500000 | t=1.52e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.8 steps/s | 101.57 ms/step | ETA: 820.7 min
Step 15210/500000 | t=1.52e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.8 steps/s | 101.70 ms/step | ETA: 821.7 min
Step 15220/500000 | t=1.52e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.8 steps/s | 101.83 ms/step | ETA: 822.8 min
Step 15230/500000 | t=1.52e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.8 steps/s | 101.96 ms/step | ETA: 823.8 min
Step 15240/500000 | t=1.52e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.8 steps/s | 102.10 ms/step | ETA: 824.9 min
Step 15250/500000 | t=1.52e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.8 steps/s | 102.23 ms/step | ETA: 825.9 min
Step 15260/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.8 steps/s | 102.37 ms/step | ETA: 827.0 min
Step 15270/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.8 steps/s | 102.51 ms/step | ETA: 828.1 min
Step 15280/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.7 steps/s | 102.78 ms/step | ETA: 830.3 min
Step 15290/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.7 steps/s | 102.90 ms/step | ETA: 831.3 min
Step 15300/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.7 steps/s | 103.04 ms/step | ETA: 832.4 min
Step 15310/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.7 steps/s | 103.17 ms/step | ETA: 833.4 min
Step 15320/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.7 steps/s | 103.30 ms/step | ETA: 834.5 min
Step 15330/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.7 steps/s | 103.44 ms/step | ETA: 835.6 min
