Step 21650/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.3 steps/s | 69.90 ms/step | ETA: 11650055.3 min
Step 21655/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.3 steps/s | 70.01 ms/step | ETA: 11667592.9 min
Step 21660/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.3 steps/s | 70.11 ms/step | ETA: 11685213.7 min
Step 21665/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.2 steps/s | 70.22 ms/step | ETA: 11703035.5 min
Step 21670/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.2 steps/s | 70.33 ms/step | ETA: 11722295.9 min
Step 21675/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.2 steps/s | 70.44 ms/step | ETA: 11739323.3 min
Step 21680/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.2 steps/s | 70.54 ms/step | ETA: 11757242.1 min
Step 21685/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.2 steps/s | 70.64 ms/step | ETA: 11773613.6 min
Step 21690/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.1 steps/s | 70.75 ms/step | ETA: 11791011.6 min
Step 21695/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.1 steps/s | 70.95 ms/step | ETA: 11824538.9 min
Step 21700/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.1 steps/s | 71.07 ms/step | ETA: 11844500.5 min
Step 21705/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.0 steps/s | 71.18 ms/step | ETA: 11862933.6 min
Step 21710/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.0 steps/s | 71.28 ms/step | ETA: 11880547.9 min
Step 21715/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.0 steps/s | 71.38 ms/step | ETA: 11896532.1 min
Step 21720/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.0 steps/s | 71.48 ms/step | ETA: 11913959.3 min
Step 21725/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.0 steps/s | 71.60 ms/step | ETA: 11932992.8 min
Step 21730/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.9 steps/s | 71.70 ms/step | ETA: 11949479.7 min
Step 21735/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.9 steps/s | 71.80 ms/step | ETA: 11966780.2 min
Step 21740/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.9 steps/s | 71.91 ms/step | ETA: 11984329.3 min
Step 21745/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.9 steps/s | 72.10 ms/step | ETA: 12016921.1 min
Step 21750/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.8 steps/s | 72.22 ms/step | ETA: 12035811.5 min
Step 21755/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.8 steps/s | 72.34 ms/step | ETA: 12055860.9 min
Step 21760/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.8 steps/s | 72.46 ms/step | ETA: 12076560.9 min
Step 21765/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.8 steps/s | 72.58 ms/step | ETA: 12096647.9 min
Step 21770/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.8 steps/s | 72.71 ms/step | ETA: 12117557.3 min
Step 21775/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.7 steps/s | 72.82 ms/step | ETA: 12135879.7 min
Step 21780/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.7 steps/s | 72.92 ms/step | ETA: 12153908.9 min
Step 21785/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.7 steps/s | 73.04 ms/step | ETA: 12173309.2 min
Step 21790/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.7 steps/s | 73.15 ms/step | ETA: 12191651.5 min
Step 21795/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.6 steps/s | 73.37 ms/step | ETA: 12227577.1 min
Step 21800/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.6 steps/s | 73.50 ms/step | ETA: 12249366.3 min
Step 21805/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.6 steps/s | 73.62 ms/step | ETA: 12270244.3 min
Step 21810/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.6 steps/s | 73.76 ms/step | ETA: 12293928.4 min
Step 21815/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.5 steps/s | 73.88 ms/step | ETA: 12314006.9 min
Step 21820/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.5 steps/s | 73.99 ms/step | ETA: 12331913.4 min
Step 21825/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.5 steps/s | 74.10 ms/step | ETA: 12349331.7 min
Step 21830/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.5 steps/s | 74.21 ms/step | ETA: 12367676.8 min
Step 21835/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.5 steps/s | 74.32 ms/step | ETA: 12386073.4 min
