Step 4100000/1000000000 | t=1.03e+00 | T=7345.8 | a=1.000025 | H=2.41e-05 | 407.2 steps/s | 2.46 ms/step | ETA: 40764.4 min
Step 4150000/1000000000 | t=1.04e+00 | T=7345.8 | a=1.000025 | H=2.41e-05 | 407.1 steps/s | 2.46 ms/step | ETA: 40766.7 min
Step 4200000/1000000000 | t=1.05e+00 | T=7345.8 | a=1.000025 | H=2.41e-05 | 407.0 steps/s | 2.46 ms/step | ETA: 40779.2 min
Step 4250000/1000000000 | t=1.06e+00 | T=7345.8 | a=1.000026 | H=2.41e-05 | 406.8 steps/s | 2.46 ms/step | ETA: 40793.0 min
Step 4300000/1000000000 | t=1.08e+00 | T=7345.8 | a=1.000026 | H=2.41e-05 | 406.7 steps/s | 2.46 ms/step | ETA: 40803.9 min
Step 4350000/1000000000 | t=1.09e+00 | T=7345.8 | a=1.000026 | H=2.41e-05 | 406.6 steps/s | 2.46 ms/step | ETA: 40812.9 min
Step 4400000/1000000000 | t=1.10e+00 | T=7345.8 | a=1.000026 | H=2.41e-05 | 406.5 steps/s | 2.46 ms/step | ETA: 40822.1 min
Step 4450000/1000000000 | t=1.11e+00 | T=7345.8 | a=1.000027 | H=2.41e-05 | 406.4 steps/s | 2.46 ms/step | ETA: 40827.4 min
Step 4500000/1000000000 | t=1.13e+00 | T=7345.8 | a=1.000027 | H=2.41e-05 | 406.3 steps/s | 2.46 ms/step | ETA: 40832.0 min
Step 4550000/1000000000 | t=1.14e+00 | T=7345.8 | a=1.000027 | H=2.41e-05 | 406.3 steps/s | 2.46 ms/step | ETA: 40839.0 min
Step 4600000/1000000000 | t=1.15e+00 | T=7345.8 | a=1.000028 | H=2.41e-05 | 406.2 steps/s | 2.46 ms/step | ETA: 40844.3 min
Step 4650000/1000000000 | t=1.16e+00 | T=7345.8 | a=1.000028 | H=2.41e-05 | 406.1 steps/s | 2.46 ms/step | ETA: 40847.0 min
