Step 98000/10000000000 | t=9.80e+00 | T=7448.2 | a=1.000236 | H=2.41e-05 | 8.4 steps/s | 118.71 ms/step | ETA: 19784334.2 min
Step 99000/10000000000 | t=9.90e+00 | T=7448.2 | a=1.000238 | H=2.41e-05 | 8.5 steps/s | 118.29 ms/step | ETA: 19715215.6 min
Step 100000/10000000000 | t=1.00e+01 | T=7448.2 | a=1.000241 | H=2.41e-05 | 8.5 steps/s | 117.87 ms/step | ETA: 19645123.9 min
Step 101000/10000000000 | t=1.01e+01 | T=7448.2 | a=1.000243 | H=2.41e-05 | 8.5 steps/s | 117.48 ms/step | ETA: 19580205.8 min
Step 102000/10000000000 | t=1.02e+01 | T=7448.2 | a=1.000245 | H=2.41e-05 | 8.5 steps/s | 117.09 ms/step | ETA: 19515167.7 min
Step 103000/10000000000 | t=1.03e+01 | T=7448.2 | a=1.000248 | H=2.41e-05 | 8.6 steps/s | 116.70 ms/step | ETA: 19449518.5 min
Step 104000/10000000000 | t=1.04e+01 | T=7448.1 | a=1.000250 | H=2.41e-05 | 8.6 steps/s | 116.31 ms/step | ETA: 19384856.3 min
Step 105000/10000000000 | t=1.05e+01 | T=7448.1 | a=1.000253 | H=2.41e-05 | 8.6 steps/s | 115.93 ms/step | ETA: 19321621.8 min
Step 106000/10000000000 | t=1.06e+01 | T=7448.1 | a=1.000255 | H=2.41e-05 | 8.7 steps/s | 115.56 ms/step | ETA: 19259712.1 min
Step 107000/10000000000 | t=1.07e+01 | T=7448.1 | a=1.000257 | H=2.41e-05 | 8.7 steps/s | 115.21 ms/step | ETA: 19200867.5 min
Step 108000/10000000000 | t=1.08e+01 | T=7448.1 | a=1.000260 | H=2.41e-05 | 8.7 steps/s | 114.85 ms/step | ETA: 19140999.1 min
Step 109000/10000000000 | t=1.09e+01 | T=7448.0 | a=1.000262 | H=2.41e-05 | 8.7 steps/s | 114.50 ms/step | ETA: 19082454.9 min
Step 110000/10000000000 | t=1.10e+01 | T=7448.0 | a=1.000265 | H=2.41e-05 | 8.8 steps/s | 114.16 ms/step | ETA: 19025840.0 min
Step 111000/10000000000 | t=1.11e+01 | T=7448.0 | a=1.000267 | H=2.41e-05 | 8.8 steps/s | 113.84 ms/step | ETA: 18972871.0 min
Step 112000/10000000000 | t=1.12e+01 | T=7448.0 | a=1.000269 | H=2.41e-05 | 8.8 steps/s | 113.51 ms/step | ETA: 18918527.1 min
Step 113000/10000000000 | t=1.13e+01 | T=7448.0 | a=1.000272 | H=2.41e-05 | 8.8 steps/s | 113.19 ms/step | ETA: 18864326.6 min
Step 114000/10000000000 | t=1.14e+01 | T=7448.0 | a=1.000274 | H=2.41e-05 | 8.9 steps/s | 112.87 ms/step | ETA: 18812117.0 min
Step 115000/10000000000 | t=1.15e+01 | T=7447.9 | a=1.000277 | H=2.41e-05 | 8.9 steps/s | 112.56 ms/step | ETA: 18760376.7 min
Step 116000/10000000000 | t=1.16e+01 | T=7447.9 | a=1.000279 | H=2.41e-05 | 8.9 steps/s | 112.26 ms/step | ETA: 18709337.4 min
Step 117000/10000000000 | t=1.17e+01 | T=7447.9 | a=1.000282 | H=2.41e-05 | 8.9 steps/s | 111.97 ms/step | ETA: 18661623.9 min
Step 118000/10000000000 | t=1.18e+01 | T=7447.9 | a=1.000284 | H=2.41e-05 | 9.0 steps/s | 111.68 ms/step | ETA: 18613025.8 min
Step 119000/10000000000 | t=1.19e+01 | T=7447.9 | a=1.000286 | H=2.41e-05 | 9.0 steps/s | 111.39 ms/step | ETA: 18564026.2 min
Step 120000/10000000000 | t=1.20e+01 | T=7447.8 | a=1.000289 | H=2.41e-05 | 9.0 steps/s | 111.09 ms/step | ETA: 18515423.1 min
Step 121000/10000000000 | t=1.21e+01 | T=7447.8 | a=1.000291 | H=2.41e-05 | 9.0 steps/s | 110.83 ms/step | ETA: 18471150.8 min
Step 122000/10000000000 | t=1.22e+01 | T=7447.8 | a=1.000294 | H=2.41e-05 | 9.0 steps/s | 110.56 ms/step | ETA: 18425725.5 min
Step 123000/10000000000 | t=1.23e+01 | T=7447.8 | a=1.000296 | H=2.41e-05 | 9.1 steps/s | 110.29 ms/step | ETA: 18380616.2 min
Step 124000/10000000000 | t=1.24e+01 | T=7447.8 | a=1.000298 | H=2.41e-05 | 9.1 steps/s | 110.01 ms/step | ETA: 18335603.0 min
Step 125000/10000000000 | t=1.25e+01 | T=7447.8 | a=1.000301 | H=2.41e-05 | 9.1 steps/s | 109.75 ms/step | ETA: 18291997.8 min
Step 126000/10000000000 | t=1.26e+01 | T=7447.7 | a=1.000303 | H=2.41e-05 | 9.1 steps/s | 109.50 ms/step | ETA: 18250208.6 min
Step 127000/10000000000 | t=1.27e+01 | T=7447.7 | a=1.000306 | H=2.41e-05 | 9.2 steps/s | 109.24 ms/step | ETA: 18207200.5 min
Step 128000/10000000000 | t=1.28e+01 | T=7447.7 | a=1.000308 | H=2.41e-05 | 9.2 steps/s | 108.99 ms/step | ETA: 18165075.9 min
Step 129000/10000000000 | t=1.29e+01 | T=7447.7 | a=1.000310 | H=2.41e-05 | 9.2 steps/s | 108.74 ms/step | ETA: 18123328.1 min
Step 130000/10000000000 | t=1.30e+01 | T=7447.7 | a=1.000313 | H=2.41e-05 | 9.2 steps/s | 108.51 ms/step | ETA: 18084296.3 min
Step 131000/10000000000 | t=1.31e+01 | T=7447.7 | a=1.000315 | H=2.41e-05 | 9.2 steps/s | 108.28 ms/step | ETA: 18046640.2 min
Step 132000/10000000000 | t=1.32e+01 | T=7447.6 | a=1.000318 | H=2.41e-05 | 9.3 steps/s | 108.04 ms/step | ETA: 18006729.8 min
Step 133000/10000000000 | t=1.33e+01 | T=7447.6 | a=1.000320 | H=2.41e-05 | 9.3 steps/s | 107.81 ms/step | ETA: 17968904.0 min
Step 134000/10000000000 | t=1.34e+01 | T=7447.6 | a=1.000322 | H=2.41e-05 | 9.3 steps/s | 107.58 ms/step | ETA: 17929865.1 min
Step 135000/10000000000 | t=1.35e+01 | T=7447.6 | a=1.000325 | H=2.41e-05 | 9.3 steps/s | 107.35 ms/step | ETA: 17891203.3 min
Step 136000/10000000000 | t=1.36e+01 | T=7447.6 | a=1.000327 | H=2.41e-05 | 9.3 steps/s | 107.12 ms/step | ETA: 17853512.8 min
Step 137000/10000000000 | t=1.37e+01 | T=7447.5 | a=1.000330 | H=2.41e-05 | 9.4 steps/s | 106.90 ms/step | ETA: 17816990.3 min
Step 138000/10000000000 | t=1.38e+01 | T=7447.5 | a=1.000332 | H=2.41e-05 | 9.4 steps/s | 106.70 ms/step | ETA: 17782462.7 min
Step 139000/10000000000 | t=1.39e+01 | T=7447.5 | a=1.000334 | H=2.41e-05 | 9.4 steps/s | 106.49 ms/step | ETA: 17747328.8 min
Step 140000/10000000000 | t=1.40e+01 | T=7447.5 | a=1.000337 | H=2.41e-05 | 9.4 steps/s | 106.28 ms/step | ETA: 17712669.2 min
Step 141000/10000000000 | t=1.41e+01 | T=7447.5 | a=1.000339 | H=2.41e-05 | 9.4 steps/s | 106.10 ms/step | ETA: 17682744.2 min
Step 142000/10000000000 | t=1.42e+01 | T=7447.5 | a=1.000342 | H=2.41e-05 | 9.4 steps/s | 105.89 ms/step | ETA: 17647855.1 min
Step 143000/10000000000 | t=1.43e+01 | T=7447.4 | a=1.000344 | H=2.41e-05 | 9.5 steps/s | 105.69 ms/step | ETA: 17614256.2 min
Step 144000/10000000000 | t=1.44e+01 | T=7447.4 | a=1.000346 | H=2.41e-05 | 9.5 steps/s | 105.49 ms/step | ETA: 17580839.9 min
Step 145000/10000000000 | t=1.45e+01 | T=7447.4 | a=1.000349 | H=2.41e-05 | 9.5 steps/s | 105.29 ms/step | ETA: 17548328.1 min
Step 146000/10000000000 | t=1.46e+01 | T=7447.4 | a=1.000351 | H=2.41e-05 | 9.5 steps/s | 105.10 ms/step | ETA: 17516562.3 min
Step 147000/10000000000 | t=1.47e+01 | T=7447.4 | a=1.000354 | H=2.41e-05 | 9.5 steps/s | 104.91 ms/step | ETA: 17484409.9 min
Step 148000/10000000000 | t=1.48e+01 | T=7447.3 | a=1.000356 | H=2.41e-05 | 9.5 steps/s | 104.72 ms/step | ETA: 17452580.9 min
Step 149000/10000000000 | t=1.49e+01 | T=7447.3 | a=1.000359 | H=2.41e-05 | 9.6 steps/s | 104.53 ms/step | ETA: 17422201.6 min
Step 150000/10000000000 | t=1.50e+01 | T=7447.3 | a=1.000361 | H=2.41e-05 | 9.6 steps/s | 104.35 ms/step | ETA: 17392157.6 min
Step 151000/10000000000 | t=1.51e+01 | T=7447.3 | a=1.000363 | H=2.41e-05 | 9.6 steps/s | 104.19 ms/step | ETA: 17364110.3 min
Step 152000/10000000000 | t=1.52e+01 | T=7447.3 | a=1.000366 | H=2.41e-05 | 9.6 steps/s | 104.01 ms/step | ETA: 17334500.8 min
Step 153000/10000000000 | t=1.53e+01 | T=7447.3 | a=1.000368 | H=2.41e-05 | 9.6 steps/s | 103.84 ms/step | ETA: 17305861.4 min
Step 154000/10000000000 | t=1.54e+01 | T=7447.2 | a=1.000371 | H=2.41e-05 | 9.6 steps/s | 103.66 ms/step | ETA: 17277225.1 min
Step 155000/10000000000 | t=1.55e+01 | T=7447.2 | a=1.000373 | H=2.41e-05 | 9.7 steps/s | 103.49 ms/step | ETA: 17248522.7 min
