Step 3350000/1000000000 | t=3.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.0 steps/s | 2.17 ms/step | ETA: 36029.7 min
Step 3400000/1000000000 | t=3.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.9 steps/s | 2.17 ms/step | ETA: 36034.3 min
Step 3450000/1000000000 | t=3.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.7 steps/s | 2.17 ms/step | ETA: 36050.0 min
Step 3500000/1000000000 | t=3.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.3 steps/s | 2.17 ms/step | ETA: 36077.8 min
Step 3550000/1000000000 | t=3.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.5 steps/s | 2.18 ms/step | ETA: 36219.7 min
Step 3600000/1000000000 | t=3.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 457.7 steps/s | 2.18 ms/step | ETA: 36279.4 min
Step 3650000/1000000000 | t=3.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 456.9 steps/s | 2.19 ms/step | ETA: 36341.6 min
Step 3700000/1000000000 | t=3.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 456.6 steps/s | 2.19 ms/step | ETA: 36365.9 min
Step 3750000/1000000000 | t=3.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 456.9 steps/s | 2.19 ms/step | ETA: 36341.9 min
Step 3800000/1000000000 | t=3.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 457.2 steps/s | 2.19 ms/step | ETA: 36317.9 min
Step 3850000/1000000000 | t=3.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 457.4 steps/s | 2.19 ms/step | ETA: 36294.4 min
Step 3900000/1000000000 | t=3.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 457.7 steps/s | 2.19 ms/step | ETA: 36275.9 min
Step 3950000/1000000000 | t=3.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 457.9 steps/s | 2.18 ms/step | ETA: 36254.1 min
Step 4000000/1000000000 | t=4.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.1 steps/s | 2.18 ms/step | ETA: 36235.4 min
Step 4050000/1000000000 | t=4.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.3 steps/s | 2.18 ms/step | ETA: 36219.6 min
Step 4100000/1000000000 | t=4.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.5 steps/s | 2.18 ms/step | ETA: 36201.5 min
Step 4150000/1000000000 | t=4.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.7 steps/s | 2.18 ms/step | ETA: 36185.4 min
Step 4200000/1000000000 | t=4.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36175.8 min
Step 4250000/1000000000 | t=4.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36167.1 min
Step 4300000/1000000000 | t=4.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36159.1 min
Step 4350000/1000000000 | t=4.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.1 steps/s | 2.18 ms/step | ETA: 36147.5 min
Step 4400000/1000000000 | t=4.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.1 steps/s | 2.18 ms/step | ETA: 36141.9 min
Step 4450000/1000000000 | t=4.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36136.0 min
Step 4500000/1000000000 | t=4.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36131.3 min
Step 4550000/1000000000 | t=4.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36127.8 min
Step 4600000/1000000000 | t=4.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.3 steps/s | 2.18 ms/step | ETA: 36123.5 min
Step 4650000/1000000000 | t=4.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.3 steps/s | 2.18 ms/step | ETA: 36117.1 min
Step 4700000/1000000000 | t=4.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.4 steps/s | 2.18 ms/step | ETA: 36107.4 min
Step 4750000/1000000000 | t=4.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.4 steps/s | 2.18 ms/step | ETA: 36103.5 min
Step 4800000/1000000000 | t=4.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.5 steps/s | 2.18 ms/step | ETA: 36096.1 min
Step 4850000/1000000000 | t=4.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.6 steps/s | 2.18 ms/step | ETA: 36087.8 min
Step 4900000/1000000000 | t=4.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.7 steps/s | 2.18 ms/step | ETA: 36077.9 min
Step 4950000/1000000000 | t=4.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.8 steps/s | 2.17 ms/step | ETA: 36066.1 min
Step 5000000/1000000000 | t=5.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.8 steps/s | 2.17 ms/step | ETA: 36062.8 min
Step 5050000/1000000000 | t=5.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.0 steps/s | 2.17 ms/step | ETA: 36051.3 min
Step 5100000/1000000000 | t=5.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.1 steps/s | 2.17 ms/step | ETA: 36035.9 min
Step 5150000/1000000000 | t=5.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.3 steps/s | 2.17 ms/step | ETA: 36025.4 min
Step 5200000/1000000000 | t=5.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.4 steps/s | 2.17 ms/step | ETA: 36012.2 min
Step 5250000/1000000000 | t=5.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.5 steps/s | 2.17 ms/step | ETA: 35999.7 min
Step 5300000/1000000000 | t=5.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.6 steps/s | 2.17 ms/step | ETA: 35990.9 min
Step 5350000/1000000000 | t=5.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.7 steps/s | 2.17 ms/step | ETA: 35985.8 min
Step 5400000/1000000000 | t=5.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.7 steps/s | 2.17 ms/step | ETA: 35980.1 min
Step 5450000/1000000000 | t=5.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.8 steps/s | 2.17 ms/step | ETA: 35975.1 min
Step 5500000/1000000000 | t=5.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.8 steps/s | 2.17 ms/step | ETA: 35968.4 min
Step 5550000/1000000000 | t=5.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.9 steps/s | 2.17 ms/step | ETA: 35962.5 min
Step 5600000/1000000000 | t=5.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.9 steps/s | 2.17 ms/step | ETA: 35956.7 min
Step 5650000/1000000000 | t=5.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.0 steps/s | 2.17 ms/step | ETA: 35952.1 min
Step 5700000/1000000000 | t=5.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.0 steps/s | 2.17 ms/step | ETA: 35947.8 min
Step 5750000/1000000000 | t=5.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.0 steps/s | 2.17 ms/step | ETA: 35942.0 min
Step 5800000/1000000000 | t=5.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.0 steps/s | 2.17 ms/step | ETA: 35940.9 min
Step 5850000/1000000000 | t=5.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.9 steps/s | 2.17 ms/step | ETA: 35948.4 min
